,power,speed,rate,line_width_square
0,3.9849999999999994,100,50,8164.256
1,7.79,100,50,12888.76
2,4.2700000000000005,100,50,8651.128
3,4.495,100,50,9013.072
4,1.625,100,50,1841.718
5,4.75,100,50,9401.99
6,4.085,100,50,8338.944
7,3.4450000000000003,100,50,7137.928
8,5.005,100,50,9770.565
9,3.3550000000000004,100,50,6951.344
10,2.395,100,50,4575.582
11,7.049999999999999,100,50,12185.246
12,4.25,100,50,8618.037
13,6.525,100,50,11639.801
14,2.45,100,50,4735.612
15,3.955,100,50,8110.994
16,7.6850000000000005,100,50,12793.111
17,3.975,100,50,8146.546
18,6.11,100,50,11176.627
19,7.005,100,50,12140.112
20,3.7900000000000005,100,50,7810.633
21,7.42,100,50,12545.777
22,4.045,100,50,8269.587
23,7.085,100,50,12220.151
24,3.5749999999999997,100,50,7399.006
25,3.2300000000000004,100,50,6683.723
26,2.355,100,50,4456.871
27,2.495,100,50,4863.897
28,2.455,100,50,4749.982
29,4.64,100,50,9236.846
30,5.89,100,50,10918.16
31,3.805,100,50,7838.474
32,3.8600000000000003,100,50,7939.625
33,7.435,100,50,12560.011
34,7.505000000000001,100,50,12626.06
35,5.53,100,50,10473.637
36,1.66,100,50,1991.916
37,2.6599999999999997,100,50,5315.252
38,4.845,100,50,9541.565
39,2.855,100,50,5813.889
40,2.8400000000000003,100,50,5776.76
41,3.1550000000000002,100,50,6518.132
42,3.585,100,50,7418.694
43,3.2,100,50,6617.953
44,4.26,100,50,8634.602
45,3.9350000000000005,100,50,8075.261
46,7.6499999999999995,100,50,12760.937
47,5.050000000000001,100,50,9833.653
48,7.115,100,50,12249.932
49,4.3950000000000005,100,50,8854.498
50,7.89,100,50,12978.663
51,3.005,100,50,6174.803
52,4.665,100,50,9274.72
53,7.765,100,50,12866.104
54,2.58,100,50,5100.02
55,5.93,100,50,10965.865
56,2.98,100,50,6115.919
57,5.0,100,50,9763.52
58,6.155,100,50,11228.348
59,1.755,100,50,2384.163
60,5.18,100,50,10012.799
61,4.555,100,50,9106.531
62,7.59,100,50,12705.439
63,8.185,100,50,13237.386
64,4.725,100,50,9364.795
65,4.855,100,50,9556.097
66,7.9750000000000005,100,50,13054.189
67,7.1,100,50,12235.057
68,2.895,100,50,5911.954
69,2.64,100,50,5262.057
70,8.155,100,50,13211.504
71,3.565,100,50,7379.263
72,4.75,100,50,9401.99
73,5.785,100,50,10791.378
74,6.295000000000001,100,50,11386.87
75,2.55,100,50,5017.582
76,2.45,100,50,4735.612
77,7.53,100,50,12649.499
78,4.915,100,50,9642.669
79,1.7149999999999999,100,50,2221.658
80,8.15,100,50,13207.182
81,1.6199999999999999,100,50,1819.997
82,3.3300000000000005,100,50,6898.627
83,7.994999999999999,100,50,13071.843
84,4.605,100,50,9183.478
85,2.105,100,50,3665.873
86,5.035,100,50,9812.687
87,7.045,100,50,12180.245
88,5.55,100,50,10499.082
89,2.495,100,50,4863.897
90,3.2300000000000004,100,50,6683.723
91,4.925,100,50,9656.995
92,5.96,100,50,11001.432
93,1.7149999999999999,100,50,2221.658
94,1.87,100,50,2831.516
95,3.1550000000000002,100,50,6518.132
96,3.1649999999999996,100,50,6540.437
97,3.45,100,50,7148.15
98,6.125,100,50,11193.91
99,8.265,100,50,13305.941
100,4.05,100,50,8278.294
101,6.635000000000001,100,50,11757.632
102,5.445,100,50,10364.458
103,1.5650000000000002,100,50,1576.546
104,1.92,100,50,3017.497
105,6.125,100,50,11193.91
106,5.755,100,50,10754.732
107,6.93,100,50,12064.242
108,3.995,100,50,8181.921
109,4.465,100,50,8965.873
110,5.65,100,50,10624.948
111,7.04,100,50,12175.241
112,4.390000000000001,100,50,8846.475
113,3.16,100,50,6529.293
114,3.6450000000000005,100,50,7535.681
115,5.13,100,50,9944.435
116,6.41,100,50,11514.47
117,3.3550000000000004,100,50,6951.344
118,8.24,100,50,13284.589
119,8.355,100,50,13382.277
120,2.12,100,50,3715.92
121,4.33,100,50,8749.478
122,5.4350000000000005,100,50,10351.501
123,7.68,100,50,12788.524
124,3.765,100,50,7763.986
125,6.61,100,50,11731.025
126,2.54,100,50,4989.888
127,3.7699999999999996,100,50,7773.34
128,7.23,100,50,12362.943
129,5.455,100,50,10377.391
130,2.09,100,50,3615.468
131,2.825,100,50,5739.435
132,4.515000000000001,100,50,9044.363
133,7.71,100,50,12816.003
134,3.375,100,50,6993.236
135,5.050000000000001,100,50,9833.653
136,1.63,100,50,1863.371
137,5.8950000000000005,100,50,10924.141
138,1.96,100,50,3162.829
139,5.295,100,50,10167.565
140,8.145,100,50,13202.856
141,6.7,100,50,11826.345
142,2.835,100,50,5764.34
143,4.275,100,50,8659.377
144,6.03,100,50,11083.732
145,6.645,100,50,11768.247
146,4.405,100,50,8870.517
147,3.505,100,50,7259.628
148,2.855,100,50,5813.889
149,1.9849999999999999,100,50,3252.162
150,1.675,100,50,2055.319
151,8.04,100,50,13111.403
152,6.529999999999999,100,50,11645.2
153,5.62,100,50,10587.423
154,5.225,100,50,10073.765
155,2.7,100,50,5420.452
156,4.29,100,50,8684.064
157,3.63,100,50,7506.616
158,2.23,100,50,4072.462
159,4.91,100,50,9635.495
160,4.8149999999999995,100,50,9497.786
161,7.449999999999999,100,50,12574.216
162,5.81,100,50,10821.772
163,6.935,100,50,12069.325
164,3.08,100,50,6348.558
165,8.309999999999999,100,50,13344.213
166,8.3,100,50,13335.726
167,8.08,100,50,13146.383
168,3.945,100,50,8093.15
169,6.4399999999999995,100,50,11547.381
170,7.455,100,50,12578.945
171,3.4450000000000003,100,50,7137.928
172,7.465,100,50,12588.393
173,6.565,100,50,11682.877
174,6.4750000000000005,100,50,11585.583
175,8.15,100,50,13207.182
176,6.245,100,50,11330.663
177,3.63,100,50,7506.616
178,7.465,100,50,12588.393
179,7.465,100,50,12588.393
180,7.9799999999999995,100,50,13058.607
181,4.67,100,50,9282.27
182,5.26,100,50,10120.821
183,7.754999999999999,100,50,12857.021
184,1.925,100,50,3035.829
185,5.33,100,50,10214.001
186,4.3549999999999995,100,50,8790.056
187,8.195,100,50,13245.992
188,6.239999999999999,100,50,11325.018
189,4.75,100,50,9401.99
190,6.87,100,50,12002.952
191,6.76,100,50,11889.184
192,6.085,100,50,11147.729
193,3.1649999999999996,100,50,6540.437
194,3.8699999999999997,100,50,7957.862
195,5.26,100,50,10120.821
196,2.07,100,50,3547.695
197,4.535,100,50,9075.515
198,5.19,100,50,10026.393
199,4.415,100,50,8886.499
200,5.16,100,50,9985.533
201,1.72,100,50,2242.178
202,6.715,100,50,11842.107
203,3.0300000000000002,100,50,6233.198
204,5.2299999999999995,100,50,10080.506
205,2.5250000000000004,100,50,4948.14
206,2.835,100,50,5764.34
207,2.09,100,50,3615.468
208,6.585000000000001,100,50,11704.317
209,6.885,100,50,12018.324
210,5.94,100,50,10977.741
211,1.5350000000000001,100,50,1440.123
212,7.64,100,50,12751.718
213,1.585,100,50,1666.05
214,5.92,100,50,10953.969
215,4.115,100,50,8390.517
216,3.205,100,50,6628.957
217,3.05,100,50,6279.569
218,2.37,100,50,4501.622
219,5.220000000000001,100,50,10067.017
220,1.545,100,50,1485.892
221,3.0949999999999998,100,50,6382.801
222,1.8950000000000002,100,50,2925.12
223,2.41,100,50,4619.588
224,7.105,100,50,12240.019
225,7.109999999999999,100,50,12244.977
226,4.45,100,50,8942.154
227,3.95,100,50,8102.077
228,8.055,100,50,13124.541
229,7.16,100,50,12294.37
230,6.455,100,50,11563.778
